Date,Open,High,Low,Close,Volume,Volume_ratio_vs_5days,Announcement,hawkish_dovish_ratio,net_sentiment_score,negative_proportion,neutral_proportion,positive_proportion,sentiment_label
01/06/2018,2734.6201171875,2736.929931640625,2718.699951171875,2718.699951171875,3694310000,1.0115593957877316,0,0.0,0.0,0.0,0.0,0.0,
04/06/2018,2746.8701171875,2749.159912109375,2740.5400390625,2741.669921875,3410090000,0.9139735088687934,0,0.0,0.0,0.0,0.0,0.0,
05/06/2018,2748.800048828125,2752.610107421875,2739.510009765625,2748.4599609375,3523550000,0.9556405725028939,0,0.0,0.0,0.0,0.0,0.0,
06/06/2018,2772.35009765625,2772.389892578125,2748.4599609375,2753.25,3662780000,0.988240233155603,0,0.0,0.0,0.0,0.0,0.0,
07/06/2018,2770.3701171875,2779.89990234375,2760.159912109375,2774.840087890625,3742080000,1.037575397289718,0,0.0,0.0,0.0,0.0,0.0,
08/06/2018,2779.030029296875,2779.389892578125,2763.590087890625,2765.840087890625,3138850000,0.8979765239009346,0,0.0,0.0,0.0,0.0,0.0,
11/06/2018,2782.0,2790.2099609375,2780.169921875,2780.179931640625,3262130000,0.9412131644564523,0,0.0,0.0,0.0,0.0,0.0,
12/06/2018,2786.85009765625,2789.800048828125,2778.780029296875,2785.60009765625,3435700000,0.9963437140765848,0,0.0,0.0,0.0,0.0,0.0,
13/06/2018,2775.6298828125,2791.469970703125,2774.64990234375,2787.93994140625,3820770000,1.0979520711191624,0,0.0,0.0,0.0,0.0,0.0,
14/06/2018,2782.489990234375,2789.06005859375,2776.52001953125,2783.2099609375,3540930000,1.0294370748872859,0,0.0,0.0,0.0,0.0,0.0,
15/06/2018,2779.659912109375,2782.81005859375,2761.72998046875,2777.780029296875,5451990000,1.3971207778789145,0,0.0,0.0,0.0,0.0,0.0,
18/06/2018,2773.75,2774.989990234375,2757.1201171875,2765.7900390625,3316120000,0.8474402149496741,0,0.0,0.0,0.0,0.0,0.0,
19/06/2018,2762.590087890625,2765.050048828125,2743.18994140625,2752.010009765625,3671160000,0.9270151916800036,0,0.0,0.0,0.0,0.0,0.0,
20/06/2018,2767.320068359375,2774.860107421875,2763.909912109375,2769.72998046875,3332140000,0.8626971149016639,0,0.0,0.0,0.0,0.0,0.0,
21/06/2018,2749.760009765625,2769.280029296875,2744.389892578125,2769.280029296875,3336580000,0.8730850288282546,0,0.0,0.0,0.0,0.0,0.0,
22/06/2018,2754.8798828125,2764.169921875,2752.679931640625,2760.7900390625,5468110000,1.429637771378642,0,0.0,0.0,0.0,0.0,0.0,
25/06/2018,2717.070068359375,2742.93994140625,2698.669921875,2742.93994140625,3663280000,0.9406885118433467,0,0.0,0.0,0.0,0.0,0.0,
26/06/2018,2723.06005859375,2732.909912109375,2715.60009765625,2722.1201171875,3568900000,0.9212912792135478,0,0.0,0.0,0.0,0.0,0.0,
27/06/2018,2699.6298828125,2746.090087890625,2699.3798828125,2728.449951171875,3803990000,0.9586252813638119,0,0.0,0.0,0.0,0.0,0.0,
28/06/2018,2716.31005859375,2724.340087890625,2691.989990234375,2698.68994140625,3461100000,0.866775388196969,0,0.0,0.0,0.0,0.0,0.0,
29/06/2018,2718.3701171875,2743.260009765625,2718.030029296875,2727.1298828125,3586800000,0.9917015362139164,0,0.0,0.0,0.0,0.0,0.0,
02/07/2018,2726.7099609375,2727.260009765625,2698.949951171875,2704.949951171875,3095040000,0.8834979558490805,0,0.0,0.0,0.0,0.0,0.0,
03/07/2018,2713.219970703125,2736.580078125,2711.159912109375,2733.27001953125,1911460000,0.6026652138079591,0,0.0,0.0,0.0,0.0,0.0,
05/07/2018,2736.610107421875,2737.830078125,2716.02001953125,2724.18994140625,2980160000,0.9911031649745653,0,0.0,0.0,0.0,0.0,0.0,
06/07/2018,2759.820068359375,2764.409912109375,2733.52001953125,2737.679931640625,2590250000,0.9143967223276952,0,0.0,0.0,0.0,0.0,0.0,
09/07/2018,2784.169921875,2784.64990234375,2770.72998046875,2775.6201171875,3070060000,1.1248137865035241,0,0.0,0.0,0.0,0.0,0.0,
10/07/2018,2793.840087890625,2795.580078125,2786.239990234375,2788.56005859375,3080140000,1.129740384255656,0,0.0,0.0,0.0,0.0,0.0,
11/07/2018,2774.02001953125,2785.909912109375,2770.77001953125,2779.820068359375,2986180000,1.0152385394773435,0,0.0,0.0,0.0,0.0,0.0,
12/07/2018,2798.2900390625,2799.219970703125,2781.530029296875,2783.139892578125,2834230000,0.973235784150112,0,0.0,0.0,0.0,0.0,0.0,
13/07/2018,2801.31005859375,2804.530029296875,2791.68994140625,2796.929931640625,2619790000,0.897778676389955,0,0.0,0.0,0.0,0.0,0.0,
16/07/2018,2798.429931640625,2801.18994140625,2793.389892578125,2797.360107421875,2819860000,0.9832010711147683,0,0.0,0.0,0.0,0.0,0.0,
17/07/2018,2809.550048828125,2814.18994140625,2789.239990234375,2789.340087890625,3064920000,1.0697815982989156,0,0.0,0.0,0.0,0.0,0.0,
18/07/2018,2815.6201171875,2816.760009765625,2805.889892578125,2811.35009765625,3111560000,1.0766375370579002,0,0.0,0.0,0.0,0.0,0.0,
19/07/2018,2804.489990234375,2812.050048828125,2799.77001953125,2809.3701171875,3278360000,1.100527779064607,0,0.0,0.0,0.0,0.0,0.0,
20/07/2018,2801.830078125,2809.699951171875,2800.010009765625,2804.550048828125,3243250000,1.0449995005783626,0,0.0,0.0,0.0,0.0,0.0,
23/07/2018,2806.97998046875,2808.610107421875,2795.139892578125,2799.169921875,2928490000,0.9370220483304729,0,0.0,0.0,0.0,0.0,0.0,
24/07/2018,2820.39990234375,2829.989990234375,2811.1201171875,2820.679931640625,3430410000,1.0725347000106928,0,0.0,0.0,0.0,0.0,0.0,
25/07/2018,2846.070068359375,2848.030029296875,2817.72998046875,2817.72998046875,3584400000,1.0884966878045492,0,0.0,0.0,0.0,0.0,0.0,
26/07/2018,2837.43994140625,2845.570068359375,2835.260009765625,2835.489990234375,3667290000,1.0879686765745966,0,0.0,0.0,0.0,0.0,0.0,
27/07/2018,2818.820068359375,2843.169921875,2808.340087890625,2842.35009765625,3434370000,1.0074444293210427,0,0.0,0.0,0.0,0.0,0.0,
30/07/2018,2802.60009765625,2821.739990234375,2798.110107421875,2819.0,3261190000,0.9383282904602807,0,0.0,0.0,0.0,0.0,0.0,
31/07/2018,2816.2900390625,2824.4599609375,2808.06005859375,2809.72998046875,3906890000,1.0941131860733702,0,0.0,0.0,0.0,0.0,0.0,
01/08/2018,2813.360107421875,2825.830078125,2805.85009765625,2821.169921875,3501350000,0.9851252793160127,0,0.0,0.0,0.0,0.0,0.0,
02/08/2018,2827.219970703125,2829.909912109375,2796.340087890625,2800.47998046875,3501380000,0.9944175521068231,0,0.0,0.0,0.0,0.0,0.0,
03/08/2018,2840.35009765625,2840.3798828125,2827.3701171875,2829.6201171875,3043690000,0.8840483313485724,0,0.0,0.0,0.0,0.0,0.0,
06/08/2018,2850.39990234375,2853.2900390625,2835.97998046875,2840.2900390625,2879020000,0.8552054290760697,0,0.0,0.0,0.0,0.0,0.0,
07/08/2018,2858.449951171875,2863.429931640625,2855.919921875,2855.919921875,3185440000,0.988599008868541,0,0.0,0.0,0.0,0.0,0.0,
08/08/2018,2857.699951171875,2862.43994140625,2853.090087890625,2856.7900390625,2978070000,0.9552689317149529,0,0.0,0.0,0.0,0.0,0.0,
09/08/2018,2853.580078125,2862.47998046875,2851.97998046875,2857.18994140625,3066180000,1.0117803120297775,0,0.0,0.0,0.0,0.0,0.0,
10/08/2018,2833.280029296875,2842.199951171875,2825.81005859375,2838.89990234375,3265590000,1.0620288403374463,0,0.0,0.0,0.0,0.0,0.0,
13/08/2018,2821.929931640625,2843.39990234375,2819.8798828125,2835.4599609375,3173630000,1.01271562603908,0,0.0,0.0,0.0,0.0,0.0,
14/08/2018,2839.9599609375,2843.110107421875,2826.580078125,2827.8798828125,2986500000,0.965257204765103,0,0.0,0.0,0.0,0.0,0.0,
